Name,Formula,Annot..Source..Predicted.Compositions,Annot..Source..mzCloud.Search,Annot..Source..MassList.Search,Annot..DeltaMass..ppm.,Calc..MW,m.z,RT..min.,X..mzCloud.Results,mzCloud.Best.Match,mzCloud.Best.Match.Confidence,mzCloud.Best.Sim..Match,Mass.List.Match..metabolites.list_230424_ForCD,MS2,Area..N_FA1_000m_ldl01.raw..F167.,Area..N_FA1_000m_ldl02.raw..F206.,Area..N_FA1_000m_ldl03.raw..F245.,Area..N_FA1_000m_ldl04.raw..F284.,Area..N_FA1_000m_ldl05.raw..F323.,Area..N_FA1_000m_ldl06.raw..F362.,Area..N_FA1_000m_ldl07.raw..F401.,Area..N_FA1_000m_ldl08.raw..F439.,Area..N_FA1_000m_ldl09.raw..F477.,Area..N_FA1_000m_ldl10.raw..F519.,Area..N_FA1_000m_ldl11.raw..F559.,Area..N_FA1_000m_ldl12.raw..F597.,Area..N_FA1_000m_ldl13.raw..F635.,Area..N_FA1_000m_ldl14.raw..F675.,Area..N_FA1_000m_ldl15.raw..F715.,Area..N_FA1_000m_ldl16.raw..F754.,Area..N_FA1_000m_ldl17.raw..F795.,Area..N_FA1_000m_ldl18.raw..F836.,Area..N_FA1_000m_ldl19.raw..F877.,Area..N_FA1_000m_ldl20.raw..F918.
Indoxyl glucuronide,C14 H15 N O7,Not the top hit,No results,Full match,0.73,309.08508,308.0778,8.084,0,NA,NA,NA,Single match found,DDA for preferred ion,737937.83,153471.1321,153267.0468,124995.8688,242588.3132,426473.3444,399063.1036,2626661.603,248569.578,2381302.591,353368.1425,253077.1891,180446.2611,255177.6656,205041.7301,212206.0906,306333.0409,100681.7485,261821.0025,1175352.749
2-Hydroxyethanesulfonate,C2 H6 O4 S,Full match,Invalid mass,Full match,1.12,125.99882,124.99154,4.46,5,NA,NA,52.4,Multiple matches found,DDA for preferred ion,42998776.55,30855441.33,41259367.74,42245967.21,2674792.892,26443815.91,30156420.77,67856988.46,56668955.17,53448283.71,11262389.68,30220700.99,31674079.79,18622592.01,17979671.11,21735127.5,24737401.09,21576402.36,18349722.66,15750241.69
Creatinine,C4 H7 N3 O,Full match,No results,Full match,1.1,113.05904,112.05176,8.364,0,NA,NA,NA,Single match found,DDA for preferred ion,44002001.59,40544829.9,54487750.72,44719992.78,14548890.55,37393327.46,54219244.13,65178098.52,45116167.95,58474892.04,26083350.13,66299995.27,81117167.28,110710404.7,36557206.4,59489497.87,40259387.4,23972345.35,77508385.46,67217691.35
4-Aminohippuric acid,C9 H10 N2 O3,Full match,Full match,Full match,0.94,194.06932,193.06205,6.123,1,92.1,55.8,NA,Single match found,DDA for preferred ion,44246703.35,73462149.46,53648155.31,66114671.48,22185249.01,157453277.2,93005922.68,55713680.19,60180903.68,153792310.6,57791.30435,1242549.847,49877.66836,2628191.631,834980.1868,2399575.28,4132656.135,370414.472,3488181.818,2461847.138
Chenodeoxycholic acid glycine conjugate,C26 H43 N O5,Full match,Partial match,Full match,0.54,449.31437,448.30709,3.858,5,92,9.6,NA,Multiple matches found,DDA for preferred ion,6332015.618,61612395.15,112667182,75432243.14,98736.49106,47490690.26,113900347.5,12259496.41,101020460.1,236903902.7,2304270.498,29358904.77,23257002.79,52062548.9,3301699.114,26438100.45,6000773.106,5005395.847,16320698.54,38002298.38
2-Hydroxyethanesulfonate,C2 H6 O4 S,Full match,No results,Full match,2.04,125.99894,124.99166,3.791,0,NA,NA,NA,Multiple matches found,DDA for preferred ion,13385091.16,5232916.564,2324669.239,2118535.382,423454.4554,1460435.302,6356740.134,10065352.9,2916055.808,20303673.43,347718.2188,218257.7798,246129.065,333042.1391,304052.0436,2024375.502,2249226.544,768016.2093,3001486.668,6326650.825
fructosyl-glycine isomer,C8 H15 N O7,Unused,No results,Full match,-2.32,237.0843,236.07702,8.588,0,NA,NA,NA,Multiple matches found,DDA for preferred ion,854034.2174,836112.1483,6987774.559,3071805.124,1462513.185,9264319.449,3291146.607,6149503.864,1359060.585,27531926.43,819344.7737,2066627.995,625351.3017,1633636.045,150018.948,618708.713,430697.8806,475082.2201,2071800.472,1846817.82
fructosyl-glycine isomer,C8 H15 N O7,Not the top hit,No results,Full match,-6.41,237.08333,236.07605,7.907,0,NA,NA,NA,Multiple matches found,DDA for preferred ion,8585216.487,2422888.706,6784265.378,3799698.19,503950.985,5910173.255,3291146.607,5917097.054,8122211.221,26803547.64,826548.0966,745168.4705,421366.6384,2082821.366,447486.8631,1044028.059,1230563.696,1483974.242,3014120.719,1846817.82
Glycocholic acid,C26 H43 N O6,Not the top hit,Full match,No results,-0.5,465.30881,464.30153,7.936,1,54.3,7.7,NA,No matches found,DDA for preferred ion,359502.0724,18720962.48,3954733.715,5405173.47,38472.77355,221669.9053,7446069.049,22403.88685,76890.92201,28916952.01,3181228.585,62919203.5,4689389.686,10709849.66,3369071.812,14736491.64,2561000.347,6506888.342,1007566.513,129030.5306
N'-Formylkynurenine,C11 H12 N2 O4,Full match,Invalid mass,Full match,1.1,236.07997,235.07269,6.036,2,NA,NA,58.7,Single match found,DDA for preferred ion,4137477.798,2942122.298,3226391.711,2112331.754,2910286.5,5667157.011,14723689.01,4058771.212,8098487.566,14969506.6,125579.6976,676904.2752,35485.17741,969577.539,938418.8531,1190859.128,246092.0527,1102053.565,56932.1225,39891.11092
phenyl glucuronide isomer,C12 H14 O7,Full match,No results,Full match,-3.47,270.07302,269.06574,6.718,0,NA,NA,NA,Single match found,DDA for preferred ion,1210995.163,25222.10826,66043.90545,18522.24588,73839.90721,293495.6705,100439.1261,278145.5897,23672.80681,83554.44028,17804.92831,74184.31423,464618.4757,21353.48373,15893.17259,17544.61283,19670.82194,12692.97023,261846.0918,27121.88876
Chenodeoxycholic acid glycine conjugate,C26 H43 N O5,Full match,Partial match,Full match,0.23,449.31423,448.30695,2.999,5,89.7,9.5,NA,Multiple matches found,DDA for preferred ion,3851213.689,43566546.43,28970404.54,14872969.39,5525525.85,26825731.6,55169535.92,3111102.912,54497645.68,267972437.1,4803259.366,36635365.55,5058101.581,9830473.412,16461541.06,53737511.05,13575758.89,14588977.03,6292288.65,15831972.7
Mevalonic acid,C6 H12 O4,Full match,No results,Full match,-0.1,148.07354,147.06627,6.557,0,NA,NA,NA,Single match found,DDA for preferred ion,39799697.66,3621911.987,25157600.78,11133315.32,124969086.4,7181142.189,347778466.3,16733163.25,33637588.04,34076904.24,109061368.8,27563921.36,25307052.82,6767231.576,17318074,32713176.85,53191540.45,17606623.29,11066323.34,2478225.016
2-Methylhippuric acid,C10 H11 N O3,Full match,Partial match,Full match,0.21,193.07393,192.06666,2.992,1,91.9,9.6,NA,Multiple matches found,DDA for preferred ion,20493185.97,5116302.155,16576478.96,10170115.47,24563.02041,510505.1587,12586248.88,14580531.18,12560554.8,11152579.77,3850180.358,4718034.224,8161015.003,8691706.918,11160285.89,7325836.208,11347842.11,23659992.72,3200318.729,4000153.538
Chenodeoxycholic acid glycine conjugate,C26 H43 N O5,Not the top hit,Partial match,Full match,-1.44,449.31348,448.3062,3.962,5,91.8,9.6,NA,Multiple matches found,DDA for preferred ion,1322264.919,47882831.86,9092568.028,5404633.267,12015601.52,18619544.87,5123515.7,8372238.368,31955422.63,217907351.3,35096979.06,154993238.9,16385711.53,38644710.46,60712623.99,178688947.9,39076366.69,35874011.25,9973903.066,19425918.16
2-Methylhippuric acid,C10 H11 N O3,Full match,Partial match,Full match,2.05,193.07429,192.06701,3.127,1,89.3,9.5,NA,Multiple matches found,DDA for preferred ion,8770358.584,2502536.154,4594300.743,3730233.54,3961427.587,10070900.96,19121401.81,9382067.347,11992042.5,16409067.6,177918.9488,2847916.508,3403652.78,8250923.401,2381143.626,7655158.387,5485678.523,12957127.12,1813831.19,1831575.634
Vanilloylglycine,C10 H11 N O5,Full match,No results,Full match,0.57,225.06385,224.05657,4.515,0,NA,NA,NA,Single match found,DDA for preferred ion,82318.01386,1127459.709,86912.36748,102856.4103,2959707.497,2166137.722,4601190.116,113933.3221,167107.4038,354824.3033,73793.91148,58485.41917,52588.31367,72519.69465,782145.009,2275107.494,65492.54825,60911.46513,923838.7447,104242.0177
6-Methylnicotinamide,C8 H10 N2 O,Full match,No results,Full match,0.61,150.0794,149.07213,7.978,0,NA,NA,NA,Single match found,DDA for preferred ion,12472396.29,18111985.62,16145366.6,18272456.64,6038915.679,23959520.51,55846581.16,17129884.8,19354924.23,44999278.85,818033.4801,17913052.03,8229352.181,19199490.16,900349.7455,12746068.49,9519404.1,820814.8144,5070989.922,160883.2491
Glycocholic acid,C26 H43 N O6,Not the top hit,Full match,No results,-3.81,465.30726,464.29999,6.51,1,78.7,8.9,NA,No matches found,DDA for preferred ion,105701.5521,2313226.223,8212.359266,1397971.841,140368.6237,180094.2021,147656.8791,123004.688,983879.245,3122437.339,54275.663,10179699.43,57081.57574,6667570.623,414116.14,5126587.334,390822.8402,383901.0375,2174546.391,3764608.594
Taurine,C2 H7 N O3 S,Full match,Full match,No results,0.58,125.01474,124.00746,12.092,1,89.9,9.5,NA,No matches found,DDA for preferred ion,40786441.77,32598367.62,40853143.89,45280809.75,19390172.39,43870055.88,54827191.98,52353355.53,80350118.46,70168750.4,18199200.72,23453202.03,19322738.06,14861500.75,14008723.15,17393787.18,18069703.07,15481532.2,14782490.49,7902970.67
"[Similar to: (9R,10R)-10-hydroxy-8,8-dimethyl-9-{[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}-2H,8H,9H,10H-pyrano[2,3-h]chromen-2-one; ΔMass: -282.1127 Da]",NA,No results,Invalid mass,No results,NA,142.02425,141.01698,17.686,10,NA,NA,50,No matches found,DDA for preferred ion,1827286760,1897571736,2393546710,1819928621,1023033895,2024606308,1806743079,2169029940,1885099568,2121830195,1457493208,1344302550,1090392919,1147476494,1235736460,1014437560,1100318637,945142672.8,520928184.4,525864520.9
Elaidic acid,C18 H34 O2,Full match,Not the top hit,Full match,-0.35,282.25578,281.2485,2.159,5,86.2,9.3,NA,Multiple matches found,DDA for preferred ion,765961271.5,868461226.9,897597893.9,1355956252,181101496.3,662052762.7,721676408.9,1883871919,671426257.2,1321989926,877429703,573796251.3,670555832.6,451533028,463467548.4,335599737,432023138.5,358785375.7,237545711.8,510927533.7
Hippuric acid,C9 H9 N O3,Full match,Full match,Full match,-1.97,179.05789,178.05061,4.133,1,62.3,8.1,NA,Single match found,DDA for preferred ion,5385071.731,277893.0048,15104836.98,10262461.8,4909696.407,495608.6868,5386521.553,13617537.71,11475904.52,7610973.142,5170255.17,1009811.964,874132.6805,5428941.5,1007601.558,13625531.9,910724.3728,1403909.272,836666.7239,1818875.303
L-Gulonolactone,C6 H10 O6,Full match,No results,Full match,-0.38,178.04767,177.04039,7.703,0,NA,NA,NA,Single match found,DDA for preferred ion,16409313.95,5198565.822,8491141.647,7514143.47,1722430.464,16958721.54,266431.3192,10476924.3,8419049.901,9444552.284,7897538.017,19656793.42,14544173.96,14935329.42,19075076.9,10307139.14,7890473.532,4200179.012,715310.9134,22049577.86
3-Hydroxyhippuric acid,C9 H9 N O4,Full match,Partial match,Full match,1.35,195.05342,194.04614,4.442,4,87.4,50.6,NA,Single match found,DDA for preferred ion,500207.0227,201132.3544,1235372.03,520263.2529,209711.8793,9685073.247,3005995.128,79131.87793,443895.5239,359734.7033,19591.29607,348609.6994,421567.4478,339049.3882,62319.7334,876598.6434,588684.5626,609871.17,458702.6887,370337.12
2-Methylhippuric acid,C10 H11 N O3,Full match,Partial match,Full match,0.9,193.07407,192.06679,3.26,2,72.9,8.6,NA,Multiple matches found,DDA for preferred ion,20589002.32,2944123.834,5394967.709,3823966.816,2605948.559,5088288.16,19672415.84,7641011.505,6932002.595,8208832.334,118268.9865,3597051.115,5236410.897,4936836.645,1518984.08,9698359.022,6071877.479,2450675.716,1813831.19,983411.7816
Thiodiacetic acid,C4 H6 O4 S,Full match,No results,Full match,-3.21,149.9982,148.99092,8.064,0,NA,NA,NA,Single match found,DDA for preferred ion,316493523.6,350777558.8,472601873.9,361984375.8,361872877.1,429735920.7,444897621.7,464997946.1,536126957.8,656485131.1,9827265.489,4733585.458,41699517.73,9620790.41,6475501.893,5809942.903,48149448.53,7526950.127,9079838.987,8585122.124
"[Similar to: 4-{3-[(3,5-dichloro-2-hydroxybenzylidene)amino]propyl}-4,5-dihydro-1H-pyrazol-5-one; ΔMass: -229.0059 Da]",C3 H4 N2 O,Full match,Invalid mass,No results,3.03,84.03262,83.02534,6.231,16,NA,NA,69.7,No matches found,DDA for preferred ion,26996086.74,602965993.4,45429318.12,54361402.73,677286796.7,1122731915,2528088582,56739214.45,17510117.53,14975631.01,24310781.63,103019458.5,22033746.96,27279275.73,21631676.33,26006171.68,26028603.23,22010827.3,15637446.2,8149987.92
Glycocholic acid,C26 H43 N O6,Not the top hit,Full match,No results,-2,465.30811,464.30083,8.256,1,68.8,8.4,NA,No matches found,DDA for preferred ion,175879.8628,16424052.68,5137115.771,5404903.329,2001925.803,1673072.148,3841478.922,369826.5554,3959427.662,24832361.73,3429986.585,59078972.18,4921038.066,13217963.9,2747849.895,31095680.52,2955050.097,7232974.387,516658.736,216042.8055
Taurodeoxycholic acid,C26 H45 N O6 S,Full match,Partial match,Full match,-0.67,499.29643,498.28915,2.705,6,86.3,37.4,NA,Multiple matches found,DDA for preferred ion,200609.2743,4826328.892,1551743.227,840642.0401,1863659.249,2133219.659,5800318.418,331496.3225,5635785.844,23292475.48,2903869.854,18639808.17,1315485.509,7803637.12,6886194.552,28566565.99,2817944.277,4969083.402,345339.4405,4169693.52
L-Gulonolactone,C6 H10 O6,Full match,Partial match,Full match,-0.18,178.04771,177.04043,7.194,1,76.7,67,NA,Single match found,DDA for preferred ion,867146.1076,5441096.027,1247964.92,152822.716,7745811.795,532226.4796,52383846.49,1002920.558,1057145.694,1803678.906,111975.275,204246.0567,125691.5947,225895.1546,89866.22438,183565.8479,221109.6275,82586.75988,106465.3885,43190.36205
2-Methylhippuric acid,C10 H11 N O3,Full match,Partial match,Full match,1.66,193.07421,192.06694,3.112,2,71.9,8.6,NA,Multiple matches found,DDA for preferred ion,8770358.584,2502536.154,4594300.743,3637900.061,2640578.73,10070900.96,16055130.94,9038779.827,11992042.5,16409067.6,558434.7877,2847916.508,2283568.107,8250923.401,1790920.531,3786231.693,3702698.53,12957127.12,1813831.19,1398588.982
Palmitic acid,C16 H32 O2,Full match,Full match,Full match,0.28,256.2403,255.23302,2.183,3,85.3,9.3,NA,Single match found,DDA for preferred ion,615606500.7,721476621.2,887443035.7,1146249246,205708144.3,883008138.8,608586992.5,1593277964,676687854.7,1238845139,692592693.1,526650070.9,507601195.4,388457628.2,360314358.9,343747956.8,395388158.7,303902467.2,315377102.7,302763175.2
Homocysteinesulfinic acid,C4 H9 N O4 S,Full match,No match,Full match,0.55,167.02532,166.01804,4.544,1,50.1,43.2,NA,Single match found,DDA for preferred ion,5668209.255,1344759.643,4766253.694,4082347.898,1691125.896,4742781.579,4958496.621,5820208.459,6390915.992,6839240.32,5466155.023,11788320.04,9069572.659,5239304.505,8560070.777,8714333.416,6881738.558,2893125.598,2366800.707,3888695.358
Glycocholic acid,C26 H43 N O6,Not the top hit,Full match,No results,-1.4,465.30839,464.30111,8.325,1,76.4,8.8,NA,No matches found,DDA for preferred ion,65922.63058,3739242.937,1490211.357,3901473.306,879780.1603,1104777.497,3841478.922,370409.4122,1198865.168,6940090.633,202375.1786,14884054.01,1358202.027,13235712.03,2487897.653,21140970.46,2657099.658,493977.7138,64421.19701,28797.9661
Mevalonic acid,C6 H12 O4,Full match,No results,Full match,5.49,148.07437,147.0671,7.772,0,NA,NA,NA,Single match found,DDA for preferred ion,12472396.29,18111985.62,7262136.77,18095681.54,9452494.142,12256814.66,16832324.91,8563681.787,19354924.23,42726946.47,825678.6368,17827935.18,8197602.072,19187544.55,611126.789,12699302.64,9519404.1,813444.5251,5070989.922,73781.23043
2-Hydroxyhippuric acid,C9 H9 N O4,Full match,Full match,No results,1.19,195.05339,194.04611,5.581,4,89.3,51.1,NA,No matches found,DDA for preferred ion,281794.8513,55783.23859,688650.1348,38878.88345,1097912.598,1046161.568,1922187.629,39906.97078,254031.4707,391284.8677,42952.23817,52564.79865,40281.17995,45838.1767,41718.59417,234256.3854,183356.1845,149727.9241,556402.681,27715.10797
2-Methylhippuric acid,C10 H11 N O3,Full match,Partial match,Full match,-2.68,193.07338,192.0661,3.386,1,83.8,9.2,NA,Multiple matches found,DDA for preferred ion,13995030.1,2210646.317,5231985.127,4113723.209,2456627.685,6297506.566,8543075.739,666740.8313,2929204.022,1630446.901,390585.9415,4736172.222,3311461.87,3770007.297,1190637.225,4824836.396,1745023.282,3670846.653,1882591.65,739779.9848
Homocysteinesulfinic acid,C4 H9 N O4 S,Full match,No results,Full match,-0.12,167.02521,166.01793,4.179,0,NA,NA,NA,Single match found,DDA for preferred ion,7732560.855,6281714.24,21394875.57,17210961.77,3387171.6,12175590.07,22175141.43,27615033.35,22667788.09,19618308.77,4680819.003,11587054.47,2090780.524,7126775.584,8208190.176,8711836.452,4384226.107,4682852.453,7009587.553,3888695.358
[Similar to: Maduramicin; ΔMass: -803.4806 Da],C4 H7 N3 O,Full match,Invalid mass,No results,0.29,113.05894,112.05167,14.696,7,NA,NA,60.5,No matches found,DDA for preferred ion,4449666.216,6372653.83,16994661.18,9788069.648,4985575.169,15610166.45,14446047.73,30685304.43,31054983.93,25329837.57,12672416.49,23414152.38,10957550.06,14119267.46,15641901.56,14829161.51,15678965.15,9378491.7,3533391.967,3555957.789
Homocysteinesulfinic acid,C4 H9 N O4 S,Full match,No results,Full match,1.41,167.02546,166.01819,3.839,0,NA,NA,NA,Single match found,DDA for preferred ion,11113211.85,6366100.576,1093375.638,8851723.892,134386.6369,13395674.2,1352734.665,15654283.59,26997130.12,20377706.77,186408.3486,794600.7875,680375.0424,845611.175,452210.5599,2349258.395,737294.678,2603098.005,1896992.826,1487194.122
2-O-Methylascorbic acid,C7 H10 O6,Full match,No results,Full match,8.96,190.04944,189.04216,8.526,0,NA,NA,NA,Single match found,DDA for preferred ion,19810488.26,5267072.062,5875595.252,324221.082,8291184.233,2679718.109,12156684.28,13635314.07,16518927.72,812907.3631,53274.43748,96694.62408,41112.23744,80921.8801,194050.852,151061.3703,254216.1658,273104.0569,59112.35293,28908.23456
"2,4-dinitrophenylhydrazine  isomer",C6 H6 N4 O4,Full match,No results,Full match,-0.38,198.03883,197.03155,3.668,0,NA,NA,NA,Single match found,DDA for preferred ion,7957748.841,7189279.588,7764436.573,7906904.924,1910532.49,3063830.908,5282484.014,5277184.127,5033976.934,9202838.443,883744.9209,6080786.658,5380772.618,7318255.376,4137274.4,9604205.041,10265463.91,12541157.2,1915705.23,527836.184
Chenodeoxycholic acid glycine conjugate,C26 H43 N O5,Full match,Partial match,Full match,0.56,449.31437,448.3071,3.313,5,89.3,9.5,NA,Multiple matches found,DDA for preferred ion,428975.3613,5599972.081,2791068.584,1485900.427,204628.9855,2091776.477,5270281.097,194412.046,6710458.284,33090054.55,174649.5837,9843487.72,757546.1949,4269795.194,1350459.804,20448534.83,825445.608,666065.4856,579523.3874,1480671.132
Hippuric acid,C9 H9 N O3,Full match,Full match,No results,-0.41,179.05817,178.05089,4.491,5,83.5,9.2,59.7,No matches found,DDA for preferred ion,2385874.247,364798.6,3908393.796,644671.039,142632.8609,330763.1642,1235252.081,454821.9976,5275641.892,2321614.901,1115646.032,3824264.783,3100629.423,3898309.016,2778154.185,3280242.211,1964075.691,1591430.04,849946.4812,662929.6695
Indole-3-acetylglycine,C12 H12 N2 O3,Full match,No results,Full match,0.09,232.08481,231.07754,3.827,0,NA,NA,NA,Single match found,DDA for preferred ion,3108198.408,1035313.425,7421505.987,3925571.814,30881.14945,5123975.865,4853314.341,2946118.057,4713480.05,2161765.806,337907.1894,668534.331,448715.2491,729669.3905,798344.5664,1389233.137,1171331.001,2981088.299,275784.668,581295.8529
2-Methylhippuric acid,C10 H11 N O3,Full match,Partial match,Full match,0.52,193.07399,192.06672,3.493,1,88.2,9.4,NA,Multiple matches found,DDA for preferred ion,6411414.221,2374828.805,2456111.89,1143693.007,1486467.292,3038249.449,2289766.717,666740.8313,1442448.088,1630446.901,390585.9415,4607823.294,1352326.675,1741334.641,718217.1849,1526971.361,1745023.282,1944033.353,1882591.65,739779.9848
Allantoin,C4 H6 N4 O3,Full match,No results,Full match,0.75,158.04411,157.03683,8.474,0,NA,NA,NA,Single match found,DDA for preferred ion,23927811.99,22497353.5,13032643.66,15370298.74,4255785.849,9606163.841,23395300.23,17516404.31,17925521.41,19972172.66,3115648.779,11903049.45,8380160.492,6198607.404,6884586.284,9229335.094,13774709.49,15405807.17,3623912.296,3479494.043
L-Gulonolactone,C6 H10 O6,Full match,No results,Full match,-2.08,178.04737,177.04009,6.363,0,NA,NA,NA,Multiple matches found,DDA for preferred ion,1858078.883,385587.508,2537149.935,2799668.871,18814132.91,2742322.989,43424956.61,2087224.729,1127282.373,2874666.208,19970690.38,22465000.83,12292421.05,38265896.75,23798314.61,26878660.49,27618346.84,16737707.41,314122.9171,152895.6062
Chenodeoxycholic acid glycine conjugate,C26 H43 N O5,Not the top hit,Partial match,Full match,2.94,449.31544,448.30817,3.167,5,88.4,9.4,NA,Multiple matches found,DDA for preferred ion,837569.236,15195039.1,8156688.592,3686402.668,14042857.47,27165409.18,29032267.02,847422.9536,14185919.13,83730599.45,395347.3216,9690581.961,143997.6109,2229806.371,3221558.98,21368640.93,825445.608,3709087.592,1508212.942,1480671.132
Cholesterol sulfate,C27 H46 O4 S,No match,No results,Full match,0.05,466.31171,465.30443,7.524,0,NA,NA,NA,Single match found,No MS2,128943.3954,2210482.058,609901.4044,541142.9183,358162.1525,259650.3995,549972.0729,155825.435,23707.26054,62416.79745,361328.0832,2356900.453,273807.4483,4584840.813,613719.7724,3585805.995,680567.5923,211601.6212,1239645.579,175834.6665
Homocysteinesulfinic acid,C4 H9 N O4 S,Full match,No results,Full match,1.79,167.02553,166.01825,4.033,0,NA,NA,NA,Single match found,DDA for preferred ion,16625761.64,7104886.412,17728674.38,17210961.77,3091164.233,14441624.78,22043075.57,27704915.91,24582255.52,19991933.33,2666831.069,7563897.468,2090780.524,6516317.533,4585595.415,8621582.659,1534536.918,9980345.641,5752250.626,7407464.889
