"seqname","seqdate","tissue","Name","Formula","ion.mode.seq","m.z","RT.seq","RT.library","RT.diff","mzCloud.Best.Match","mzCloud.Best.Match.Confidence","Annot..DeltaMass..ppm.","Calc..MW","CJ","Detected.in","confirmation","HMDB.ID"
"ldlr_serum_apr2022","2023-04","Serum","1-(acetyloxy)-3-hydroxy-6,8a-dimethyl-7-oxo-3-(propan-2-yl)-1,2,3,3a,4,7,8,8a-octahydroazulen-4-yl 4-hydroxybenzoate","C24H30O7","Posi",448.24029,2.688,NA,NA,56.4,7.8,17.15,430.20653,NA,NA,NA,NA
"ldlr_serum_apr2022","2023-04","Serum","1-Deoxy-D-glucitol","C6H14O5","Posi",167.09208,5.199,5.12,0.0789999999999997,50.9,44.6,4.63,166.08489,"CJ0957","Posi","DDA","HMDB0041500"
"ldlr_serum_apr2022","2023-04","Serum","1-Isomangostin hydrate","C24H28O7","Posi",429.18943,2.405,NA,NA,54.3,22.9,-3.38,428.18206,"CJ1212",NA,NA,"HMDB0029984"
"ldlr_serum_apr2022","2023-04","Serum","1-Linoleoyl glycerol","C21H38O4","Posi",355.28151,6.812,NA,NA,64.9,8.2,-7.84,354.27423,NA,NA,NA,NA
"ldlr_serum_apr2022","2023-04","Serum","1-Methyl-3,6-(1H,2H)-pyridazinedione","C5H6N2O2","Nega",125.03602,20.381,NA,NA,53.6,43.7,2.92,126.0433,NA,NA,NA,NA
"ldlr_serum_apr2022","2023-04","Serum","1-Methyladenine","C6H7N5","Nega",148.06312,14.162,NA,NA,58.2,60.6,1.7,149.0704,NA,NA,NA,NA
"ldlr_serum_apr2022","2023-04","Serum","1-Methyladenine","C6H7N5","Posi",150.07759,13.907,NA,NA,84.3,67.6,1.13,149.07031,NA,NA,NA,NA
"ldlr_serum_apr2022","2023-04","Serum","1-Methyladenosine","C11H15N5O4","Posi",282.11879,14.007,5.08,8.927,87.5,9.4,-3.18,281.11151,"CJ0007","Both","Sigma","HMDB0003331"
"ldlr_serum_apr2022","2023-04","Serum","1-Methylguanine","C6H7N5O","Nega",164.05515,8.471,NA,NA,73.7,50.2,-15.97,165.06242,NA,NA,NA,NA
"ldlr_serum_apr2022","2023-04","Serum","1-Methylguanine","C6H7N5O","Posi",166.07142,5.976,NA,NA,81.4,75,-5.57,165.06414,NA,NA,NA,NA
"ldlr_serum_apr2022","2023-04","Serum","1-Methylhistidine","C7H11N3O2","Posi",170.09224,18.267,18.23,0.036999999999999,89.1,74.3,-0.99,169.08496,"CJ0008","Both","Sigma","HMDB0000001"
"ldlr_serum_apr2022","2023-04","Serum","1-Methylinosine","C11H14N4O5","Nega",281.08883,6.256,5.88,0.376,77.4,31.8,-1.1,282.09611,"CJ0960","Nega","DDA","HMDB0002721"
"ldlr_serum_apr2022","2023-04","Serum","1-Methylnicotinamide","C7H8N2O","Posi",137.07002,19.838,NA,NA,69.4,39.6,-6.74,136.06275,NA,NA,NA,NA
"ldlr_serum_apr2022","2023-04","Serum","1-Pentanesulfenothioic acid","C5H12S2","Nega",135.03007,10.225,8.99,1.235,58.5,7.9,-5.12,136.03735,"CJ0961","Posi","DDA","HMDB0031160"
"ldlr_serum_apr2022","2023-04","Serum","1-Pentanesulfenothioic acid","C5H12S2","Posi",137.0453,9.229,8.99,0.238999999999999,87.2,83.4,-0.12,136.03803,"CJ0961","Posi","DDA","HMDB0031160"
"ldlr_serum_apr2022","2023-04","Serum","1-Phenyl-1H-pyrazolo[3,4-d]pyrimidin-4-amine","C11H9N5","Nega",210.07884,1.362,NA,NA,52.9,58.8,1.53,211.08612,NA,NA,NA,NA
"ldlr_serum_apr2022","2023-04","Serum","1-Vinylimidazole","C5H6N2","Posi",95.05968,20.465,NA,NA,57,23.1,-8.02,94.05234,NA,NA,NA,NA
"ldlr_serum_apr2022","2023-04","Serum","1-[(5-Amino-5-carboxypentyl)amino]-1-deoxyfructose","C12H24N2O7","Posi",309.16866,3.688,NA,NA,52.7,36.3,9.97,308.16142,"CJ1194",NA,NA,"HMDB0034879"
"ldlr_serum_apr2022","2023-04","Serum","1-[2-(2,5-dimethyl-1H-pyrrol-1-yl)-4-nitrophenyl]-1H-imidazole","C15H14N4O2","Posi",283.11476,12.741,NA,NA,73.5,8.7,-14.84,282.10749,NA,NA,NA,NA
"ldlr_serum_apr2022","2023-04","Serum","1-[2-Hydroxy-3-(phenylthio)propyl]piperidine-4-carboxamide","C15H22N2O2S","Posi",295.15065,3.099,NA,NA,50.9,22.5,12.53,294.14388,NA,NA,NA,NA
"ldlr_serum_apr2022","2023-04","Serum","1-[6-(benzyloxy)-3-(tert-butyl)-2-hydroxyphenyl]ethan-1-one","C19H22O3","Nega",297.15315,1.941,NA,NA,52.2,58.6,11.84,298.16043,NA,NA,NA,NA
"ldlr_serum_apr2022","2023-04","Serum","1-allyl-4,5-diphenyl-2-(2-thienyl)-1H-imidazole","C22H18N2S","Posi",343.12998,1.908,NA,NA,51.2,41.1,10.63,342.1227,NA,NA,NA,NA
"ldlr_serum_apr2022","2023-04","Serum","1-methyl-N-(4-piperidinophenyl)-1H-imidazole-4-sulfonamide","C15H20N4O2S","Nega",319.12176,2.922,NA,NA,50.5,7.5,-5.2,320.12903,NA,NA,NA,NA
"ldlr_serum_apr2022","2023-04","Serum","1-{[(2R,4S,5S)-5-{[(1R,9S)-6-Oxo-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-11-yl]methyl}-1-azabicyclo[2.2.2]oct-2-yl]methyl}-3-phenylurea","C27H35N5O2","Nega",460.26976,7.976,NA,NA,56.1,7.8,-4.43,461.27703,NA,NA,NA,NA
"ldlr_serum_apr2022","2023-04","Serum","1-{[3-(4-fluorophenyl)-1H-pyrazol-4-yl]methyl}-4-(2-methoxyphenyl)piperidine","C22H24FN3O","Nega",364.18056,2.787,NA,NA,50.5,43.3,-6.85,365.18784,NA,NA,NA,NA
"ldlr_serum_apr2022","2023-04","Serum","10Z-Heptadecenoic acid","C17H32O2","Nega",267.23295,2.177,2.08,0.097,73.3,8.7,0,268.24023,"CJ0660","Nega","fatty acids","HMDB0060038"
"ldlr_serum_apr2022","2023-04","Serum","10Z-Heptadecenoic acid","C17H32O2","Posi",269.24626,2.33,2.08,0.25,73.1,8.7,-4.56,268.23901,"CJ0660","Nega","fatty acids","HMDB0060038"
"ldlr_serum_apr2022","2023-04","Serum","11(R)-HETE","C20H32O3","Posi",321.24088,2.364,2.4925,-0.1285,56.4,7.8,-5.67,320.23333,"CJ0946",NA,"DDA","HMDB0004682"
"ldlr_serum_apr2022","2023-04","Serum","11-Dehydro thromboxane B2","C20H32O6","Posi",369.22455,2.622,NA,NA,73.1,26.3,-6.86,368.21736,NA,NA,NA,NA
"ldlr_serum_apr2022","2023-04","Serum","11Z-Eicosenoic acid","C20H38O2","Nega",309.27975,2.133,2.04,0.093,81.7,9.1,-0.49,310.28703,"CJ0668","Nega","fatty acids","HMDB0002231"
"ldlr_serum_apr2022","2023-04","Serum","12-Aminododecanoic acid","C12H25NO2","Posi",216.19472,2.694,NA,NA,64.1,23.8,-4.91,215.18747,NA,NA,NA,NA
"ldlr_serum_apr2022","2023-04","Serum","12-oxo-PDA","C18H28O3","Posi",293.20992,2.993,3.033,-0.04,72.5,69.7,-3.92,292.2027,"CJ0949",NA,"DDA","HMDB0301804"
"ldlr_serum_apr2022","2023-04","Serum","13-Docosenamide","C22H43NO","Posi",338.34026,2.335,2.27,0.0649999999999999,81.8,9.1,-4.4,337.33298,"CJ1066","Posi","DDA","HMDB0244507"
"ldlr_serum_apr2022","2023-04","Serum","13-HODE","C18H32O3","Nega",295.22768,2.285,2.18,0.105,89.5,51.2,-0.62,296.23496,"CJ0649","Nega","fatty acids","HMDB0004667"
"ldlr_serum_apr2022","2023-04","Serum","13-HODE","C18H32O3","Posi",297.24094,2.274,2.18,0.0939999999999999,70.1,48.2,-5.06,296.23365,"CJ0649","Nega","fatty acids","HMDB0004667"
"ldlr_serum_apr2022","2023-04","Serum","13-L-Hydroperoxylinoleic acid","C18H32O4","Nega",311.22256,2.617,2.771,-0.154,76.5,64.1,-0.73,312.22983,"CJ0950","Nega","DDA","HMDB0003871"
"ldlr_serum_apr2022","2023-04","Serum","13-L-Hydroperoxylinoleic acid","C18H32O4","Posi",313.23518,3.366,2.771,0.595,58.7,7.9,-6.2,312.22812,"CJ0950","Nega","DDA","HMDB0003871"
"ldlr_serum_apr2022","2023-04","Serum","13-OxoODE","C18H30O3","Nega",293.21194,2.333,2.2506,0.0824000000000003,78.6,53.3,-0.96,294.21921,"CJ0951",NA,"DDA","HMDB0004668"
"ldlr_serum_apr2022","2023-04","Serum","13-OxoODE","C18H30O3","Posi",295.22504,2.329,2.2506,0.0784000000000002,88,81,-5.68,294.21782,"CJ0951",NA,"DDA","HMDB0004668"
"ldlr_serum_apr2022","2023-04","Serum","15-Keto-13,14-dihydroprostaglandin A2","C20H30O4","Nega",333.20715,2.867,2.76,0.107,95.7,9.8,0.05,334.21443,"CJ0953","Nega","DDA","HMDB0001244"
"ldlr_serum_apr2022","2023-04","Serum","16-Hydroxyhexadecanoic acid","C16H32O3","Nega",271.2279,2.204,2.33,-0.126,80.2,9,0.13,272.23518,"CJ0658","Nega","fatty acids","HMDB0006294"
"ldlr_serum_apr2022","2023-04","Serum","2',4'-Dihydroxyacetophenone","C8H8O3","Nega",151.04012,2.399,2.51,-0.111,58.6,7.9,0.36,152.0474,"CJ0014","Both","Sigma","HMDB0029659"
"ldlr_serum_apr2022","2023-04","Serum","2'-Deoxyguanosine 5'-monophosphate","C10H14N5O7P","Posi",348.06864,14.933,14.52,0.413,80.9,9,-4.72,347.06145,"CJ0212","Both","Sigma","HMDB0001044"
"ldlr_serum_apr2022","2023-04","Serum","2'-Deoxyguanosine 5'-monophosphate (dGMP)","C10H14N5O7P","Nega",346.05391,9.59,NA,NA,60.2,61.3,-5.48,347.06118,NA,NA,NA,NA
"ldlr_serum_apr2022","2023-04","Serum","2'-Deoxyinosine","C10H12N4O4","Nega",251.0782,5.313,NA,NA,78.4,32.4,-1.49,252.08548,NA,NA,NA,NA
"ldlr_serum_apr2022","2023-04","Serum","2'-Deoxyinosine","C10H12N4O4","Posi",253.09193,5.901,NA,NA,84.7,33.3,-4.69,252.08467,NA,NA,NA,NA
"ldlr_serum_apr2022","2023-04","Serum","2,2'-Methylenebis(4-methyl-6-tert-butylphenol)","C23H32O2","Nega",339.23343,2.545,NA,NA,59.4,8,1.41,340.24071,NA,NA,NA,NA
"ldlr_serum_apr2022","2023-04","Serum","2,2,6,6-Tetramethyl-1-piperidinol (TEMPO)","C9H19NO","Posi",158.15291,9.39,NA,NA,78.5,8.9,-6.56,157.14563,NA,NA,NA,NA
"ldlr_serum_apr2022","2023-04","Serum","2,2,6,6-Tetramethyl-4-piperidinol","C9H19NO","Posi",158.1531,2.47,NA,NA,50.2,44.5,-5.5,157.1458,NA,NA,NA,NA
"ldlr_serum_apr2022","2023-04","Serum","2,2-Dimethylsuccinic acid","C6H10O4","Nega",145.05232,3.722,NA,NA,61.7,8.1,11.57,146.0596,NA,NA,NA,NA
"ldlr_serum_apr2022","2023-04","Serum","2,4,5-Trimethylaniline","C9H13N","Posi",136.11164,10.346,NA,NA,68.6,58,-2.89,135.10441,NA,NA,NA,NA
"ldlr_serum_apr2022","2023-04","Serum","2,4-Diaminotoluene","C7H10N2","Posi",123.09118,11.302,NA,NA,68.3,24.2,-4.09,122.0839,NA,NA,NA,NA
"ldlr_serum_apr2022","2023-04","Serum","2,4-Dimethylbenzaldehyde","C9H10O","Posi",135.08024,2.889,2.39,0.499,86.5,70.8,-1.49,134.07296,"CJ0967","Posi","DDA","HMDB0032142"
"ldlr_serum_apr2022","2023-04","Serum","2,5,6,8-Tetramethyl-4,5,6,7,8,9-hexahydropyrimido[5',4' 5,6]pyrido[3,4-d][1,3]oxazole-4,7,9-trione","C12H12N4O4","Posi",277.08834,13.027,NA,NA,52.9,41.4,-17.36,276.08106,NA,NA,NA,NA
"ldlr_serum_apr2022","2023-04","Serum","2,5-Dihydro-2,4,5-trimethyloxazole","C6H11NO","Posi",114.09079,2.528,3.744,-1.216,52.7,41.4,-5.07,113.08349,"CJ0968","Posi","DDA","HMDB0031199"
"ldlr_serum_apr2022","2023-04","Serum","2,5-Dimethylpyrazine","C6H8N2","Posi",109.07571,1.758,9.04,-7.282,86.8,54.1,-3.05,108.06842,"CJ0018","Posi","Sigma","HMDB0035289"
"ldlr_serum_apr2022","2023-04","Serum","2,6-Dimethylpyrazine","C6H8N2","Posi",109.0754,1.242,NA,NA,86.6,54,-5.07,108.0682,NA,NA,NA,NA
"ldlr_serum_apr2022","2023-04","Serum","2,6-di(2-furyl)-3-propyltetrahydropyridin-4(1H)-one hydrochloride","C16H19NO3","Posi",274.14977,14.831,NA,NA,54.5,22.9,26.47,273.14372,NA,NA,NA,NA
"ldlr_serum_apr2022","2023-04","Serum","2-(2,3-dihydro-1H-inden-1-yliden)hydrazine-1-carboxamide","C10H11N3O","Posi",190.09637,10.914,NA,NA,54.6,54.3,-5.9,189.0891,NA,NA,NA,NA
"ldlr_serum_apr2022","2023-04","Serum","2-(2H-Benzotriazol-2-yl)-4,6-bis(1-methyl-1-phenylethyl)phenol","C30H29N3O","Posi",448.23183,2.661,NA,NA,68.5,8.4,-14.63,447.22452,NA,NA,NA,NA
"ldlr_serum_apr2022","2023-04","Serum","2-(3,4-dimethoxyphenyl)-5,6,8-trihydroxy-3,7-dimethoxy-4h-chromen-4-one isomer","C19H18O9","Posi",391.09956,12.797,NA,NA,70.7,49.1,-8.34,390.09183,"CJ1221",NA,NA,NA
"ldlr_serum_apr2022","2023-04","Serum","2-(3-thienylcarbonyl)-3-(3,4,5-trimethoxyphenyl)acrylonitrile","C17H15NO4S","Posi",330.08077,13.902,NA,NA,64.7,43.3,4,329.0735,NA,NA,NA,NA
"ldlr_serum_apr2022","2023-04","Serum","2-(4-Methyl-3-cyclohexen-1-yl)-2-propanyl 6-O-(6-deoxy-α-L-mannopyranosyl)-β-D-glucopyranoside","C22H38O10","Nega",461.24008,9.27,NA,NA,74.9,66.8,1.86,462.24736,NA,NA,NA,NA
"ldlr_serum_apr2022","2023-04","Serum","2-(4-methyl-1,3-thiazol-2-yl)benzo[b]thiophen-3-ol","C12H9NOS2","Posi",248.01895,12.334,NA,NA,53.2,7.7,-3.33,247.01173,NA,NA,NA,NA
"ldlr_serum_apr2022","2023-04","Serum","2-(5-chloro-2-methoxyphenyl)-2,3-dihydro-1H-pyrrolo[3,4-c]pyridine-1,3-dione","C14H9ClN2O3","Posi",289.03931,10.142,NA,NA,63.7,46.9,6.48,288.03204,NA,NA,NA,NA
"ldlr_serum_apr2022","2023-04","Serum","2-(Cyclohexyloxy)-5-{5-[(2S)-1-(tetrahydro-2H-pyran-4-yl)-2-pyrrolidinyl]-1,2,4-oxadiazol-3-yl}pyridine","C22H30N4O3","Posi",399.23299,2.374,NA,NA,61.4,8.1,-15.13,398.22577,NA,NA,NA,NA
"ldlr_serum_apr2022","2023-04","Serum","2-(acetylamino)-3-(1H-indol-3-yl)propanoic acid","C13H14N2O3","Posi",247.10613,4.51,NA,NA,76.7,48.7,-6.37,246.09887,NA,NA,NA,NA
"ldlr_serum_apr2022","2023-04","Serum","2-(acetyloxy)-3-amino-1-[1,2-di(acetyloxy)ethyl]-3-oxopropyl acetate","C13H19NO9","Posi",334.11107,8.232,NA,NA,60.8,8,-6.5,333.10382,NA,NA,NA,NA
"ldlr_serum_apr2022","2023-04","Serum","2-({[2-(1H-benzimidazol-2-yl)phenyl]imino}methyl)-4,6-dichlorophenol","C20H13Cl2N3O","Posi",382.0494,11.529,NA,NA,55.4,41.8,-3.8,381.04212,NA,NA,NA,NA
"ldlr_serum_apr2022","2023-04","Serum","2-Acetamidophenol","C8H9NO2","Posi",152.07001,1.924,NA,NA,74.4,45.6,-3.93,151.06274,NA,NA,NA,NA
"ldlr_serum_apr2022","2023-04","Serum","2-Acetoxybenzonitrile","C9H7NO2","Posi",162.05391,5.908,NA,NA,71.9,25.5,-6.5,161.04663,NA,NA,NA,NA
"ldlr_serum_apr2022","2023-04","Serum","2-Amino-4-cresol","C7H9NO","Posi",124.07507,15.26,NA,NA,51.4,22.6,-5.01,123.0678,NA,NA,NA,NA
"ldlr_serum_apr2022","2023-04","Serum","2-Amino-4-methylpyrimidine","C5H7N3","Posi",110.07105,3.744,NA,NA,91.3,60.6,-2.07,109.06377,NA,NA,NA,NA
"ldlr_serum_apr2022","2023-04","Serum","2-Amino-6-({[(2-chlorobenzyl)oxy]carbonyl}amino)hexanoic acid","C14H19ClN2O4","Posi",315.10884,9.465,NA,NA,75.4,8.8,-5.62,314.10157,NA,NA,NA,NA
"ldlr_serum_apr2022","2023-04","Serum","2-Amino-6-methylmercaptopurine","C6H7N5S","Nega",180.03353,8.642,NA,NA,52.9,7.6,-7.81,181.0408,NA,NA,NA,NA
"ldlr_serum_apr2022","2023-04","Serum","2-Aminobenzoic acid","C7H7NO2","Posi",138.05412,12.384,NA,NA,85,80.2,-6.07,137.04685,"CJ1376",NA,NA,"HMDB0001123"
"ldlr_serum_apr2022","2023-04","Serum","2-Aminoisobutyric acid","C4H9NO2","Nega",102.0563,12.564,13.11,-0.545999999999999,86.6,9.3,2.43,103.06358,"CJ0022","Both","Sigma","HMDB0001906"
"ldlr_serum_apr2022","2023-04","Serum","2-Aminoisobutyric acid","C4H9NO2","Posi",104.07023,12.468,13.11,-0.641999999999999,91.9,9.6,-3.61,103.06296,"CJ0022","Both","Sigma","HMDB0001906"
"ldlr_serum_apr2022","2023-04","Serum","2-Aminonicotinic acid","C6H6N2O2","Nega",137.03606,20.365,NA,NA,52.6,7.6,2.99,138.04334,NA,NA,NA,NA
"ldlr_serum_apr2022","2023-04","Serum","2-Aminonicotinic acid","C6H6N2O2","Posi",139.04933,4.088,NA,NA,76.3,48.1,-5.96,138.0421,NA,NA,NA,NA
"ldlr_serum_apr2022","2023-04","Serum","2-Aminooctanedioic acid","C8H15NO4","Nega",188.09324,9.146,NA,NA,62.2,62,2.16,189.10052,NA,NA,NA,NA
"ldlr_serum_apr2022","2023-04","Serum","2-Dodecylbenzenesulfonic acid","C18H30O3S","Nega",325.18375,3.285,1.86,1.425,85.7,74.9,-1.65,326.19103,"CJ0970","Nega","DDA","HMDB0031031"
"ldlr_serum_apr2022","2023-04","Serum","2-Ethyl-2-oxazoline","C5H9NO","Posi",100.07526,16.658,NA,NA,70.3,8.5,-4.72,99.06795,NA,NA,NA,NA
"ldlr_serum_apr2022","2023-04","Serum","2-Furoic acid","C5H4O3","Nega",111.00883,16.803,NA,NA,51.9,43.4,0.57,112.01611,NA,NA,NA,NA
"ldlr_serum_apr2022","2023-04","Serum","2-Hydroxy-2-methyl-3-buten-1-yl beta-D-glucopyranoside","C11H20O7","Nega",263.11281,14.579,NA,NA,51.6,7.6,-3.1,264.12008,NA,NA,NA,NA
"ldlr_serum_apr2022","2023-04","Serum","2-Hydroxy-3-methylpentanoic acid","C6H12O3","Nega",131.0714,3.65,3.51,0.14,66.9,26.8,0.28,132.07868,"CJ0972","Nega","DDA","HMDB0000317"
"ldlr_serum_apr2022","2023-04","Serum","2-Hydroxy-4-(4-hydroxyphenyl)butanoic acid","C10H12O4","Nega",195.06839,8.122,NA,NA,59.9,61.2,10.75,196.07567,NA,NA,NA,NA
"ldlr_serum_apr2022","2023-04","Serum","2-Hydroxybenzaldehyde","C7H6O2","Nega",121.02961,2.8,2.51,0.29,77.3,8.9,0.92,122.03689,"CJ0055","Nega","Sigma","HMDB0034170"
"ldlr_serum_apr2022","2023-04","Serum","2-Hydroxybutyric acid","C4H8O3","Nega",103.04024,4.887,4.62,0.266999999999999,80.8,48.8,1.7,104.04752,"CJ0026","Nega","Sigma","HMDB0000008"
